transaction_id,customer_id,amount,currency,transaction_date,country,channel,merchant_category,status
1,1051,295.49,USD,2024-02-19,Canada,Online,Restaurant,Refunded
2,1092,373.99,MXN,2024-01-21,Mexico,In-Store,Pharmacy,Declined
3,1014,218.67,USD,2024-01-22,USA,In-Store,Fashion,Completed
4,1071,68.15,CAD,2024-01-21,Mexico,In-Store,Fashion,Completed
5,1060,145.47,MXN,2024-02-13,Mexico,In-Store,Pharmacy,Pending
6,1020,184.73,USD,2024-02-19,Spain,In-Store,Pharmacy,Declined
7,1082,324.73,EUR,2024-01-30,Spain,Online,Electronics,Completed
8,1086,287.54,CAD,2024-02-08,Spain,In-Store,Fashion,Declined
9,1074,181.27,CAD,2024-01-20,USA,Online,Pharmacy,Completed
10,1074,493.33,CAD,2024-01-24,USA,In-Store,Travel,Refunded
11,1087,304.86,EUR,2024-01-23,Mexico,Mobile,Travel,Completed
12,1099,122.43,EUR,2024-01-07,Spain,In-Store,Fashion,Pending
13,1023,55.38,GBP,2024-01-09,USA,Mobile,Pharmacy,Refunded
14,1002,80.67,USD,2024-01-01,Canada,In-Store,Electronics,Pending
15,1021,126.75,GBP,2024-01-26,Mexico,In-Store,Electronics,Refunded
16,1052,84.54,USD,2024-02-07,UK,In-Store,Electronics,Declined
17,1001,97.35,EUR,2024-02-07,Mexico,Mobile,Grocery,Pending
18,1087,146.12,EUR,2024-02-23,UK,Mobile,Fashion,Completed
19,1029,90.82,GBP,2024-02-13,Spain,In-Store,Electronics,Declined
20,1037,448.9,MXN,2024-01-22,UK,Online,Travel,Completed
21,1001,44.72,GBP,2024-02-13,Spain,In-Store,Pharmacy,Refunded
22,1063,264.63,USD,2024-01-10,Canada,Mobile,Restaurant,Refunded
23,1059,208.15,GBP,2024-02-24,UK,In-Store,Restaurant,Completed
24,1020,491.28,CAD,2024-02-27,Mexico,Mobile,Electronics,Completed
25,1032,60.46,USD,2024-01-06,Spain,Mobile,Restaurant,Declined
26,1075,201.94,USD,2024-01-17,Mexico,Mobile,Restaurant,Completed
27,1057,484.89,MXN,2024-02-20,USA,In-Store,Grocery,Pending
28,1021,433.43,EUR,2024-02-19,Spain,Mobile,Travel,Pending
29,1088,409.45,USD,2024-02-07,UK,Mobile,Travel,Completed
30,1048,132.66,EUR,2024-01-24,Spain,In-Store,Grocery,Pending
31,1090,89.59,GBP,2024-02-20,Mexico,Mobile,Grocery,Completed
32,1058,335.98,CAD,2024-01-10,Canada,In-Store,Restaurant,Declined
33,1041,465.04,MXN,2024-02-25,Spain,Mobile,Fashion,Pending
34,1091,280.6,EUR,2024-01-08,UK,Online,Pharmacy,Pending
35,1059,287.95,USD,2024-01-21,USA,Online,Pharmacy,Completed
36,1079,143.59,EUR,2024-02-25,Canada,Mobile,Restaurant,Pending
37,1014,385.9,USD,2024-01-06,USA,Online,Pharmacy,Refunded
38,1061,97.59,EUR,2024-01-21,Spain,In-Store,Grocery,Declined
39,1061,165.22,USD,2024-02-26,Mexico,Online,Travel,Declined
40,1046,215.59,GBP,2024-02-08,Mexico,Mobile,Pharmacy,Pending
41,1061,256.27,USD,2024-01-24,UK,Mobile,Restaurant,Pending
42,1050,124.99,USD,2024-02-02,Mexico,In-Store,Fashion,Refunded
43,1054,61.84,CAD,2024-02-28,Canada,Mobile,Restaurant,Refunded
44,1063,307.26,USD,2024-01-18,Mexico,In-Store,Electronics,Pending
45,1002,147.87,CAD,2024-02-25,UK,Online,Restaurant,Pending
46,1050,292.71,MXN,2024-01-28,Spain,Online,Grocery,Refunded
47,1006,81.41,CAD,2024-02-26,Spain,In-Store,Travel,Completed
48,1020,243.16,GBP,2024-02-21,Mexico,In-Store,Travel,Refunded
49,1072,268.63,CAD,2024-02-01,USA,Mobile,Pharmacy,Completed
50,1038,30.65,MXN,2024-01-12,Spain,Online,Grocery,Declined
51,1017,171.62,GBP,2024-02-17,Mexico,In-Store,Electronics,Declined
52,1003,71.54,EUR,2024-02-11,UK,Online,Grocery,Refunded
53,1088,36.37,EUR,2024-01-27,Mexico,In-Store,Restaurant,Completed
54,1059,495.03,CAD,2024-01-10,Spain,Online,Grocery,Refunded
55,1013,164.57,CAD,2024-02-15,UK,Mobile,Grocery,Refunded
56,1008,405.89,MXN,2024-02-26,Mexico,Online,Electronics,Completed
57,1089,131.05,MXN,2024-02-21,Canada,Online,Restaurant,Refunded
58,1052,342.34,USD,2024-02-11,UK,Online,Fashion,Declined
59,1001,381.31,MXN,2024-02-01,Canada,Online,Fashion,Pending
60,1083,299.84,USD,2024-02-11,USA,Online,Travel,Pending
61,1091,238.43,GBP,2024-01-26,UK,Mobile,Pharmacy,Refunded
62,1059,208.86,CAD,2024-01-25,Canada,In-Store,Grocery,Completed
63,1070,177.69,GBP,2024-01-11,Spain,Online,Travel,Completed
64,1043,465.12,MXN,2024-01-23,Spain,Mobile,Electronics,Declined
65,1007,416.16,GBP,2024-02-03,USA,Online,Fashion,Completed
66,1046,482.69,GBP,2024-02-26,UK,Online,Grocery,Completed
67,1034,66.53,GBP,2024-02-21,UK,In-Store,Electronics,Declined
68,1077,366.78,MXN,2024-02-09,UK,Online,Pharmacy,Refunded
69,1080,469.48,GBP,2024-01-23,USA,Mobile,Electronics,Pending
70,1035,94.71,USD,2024-01-29,UK,Mobile,Grocery,Declined
71,1049,37.92,MXN,2024-01-31,Spain,In-Store,Pharmacy,Refunded
72,1003,371.85,GBP,2024-01-07,Canada,Online,Electronics,Declined
73,1001,289.36,MXN,2024-02-09,Spain,Mobile,Pharmacy,Refunded
74,1005,421.71,EUR,2024-02-02,Spain,Online,Grocery,Declined
75,1053,74.19,USD,2024-01-21,Canada,Online,Grocery,Refunded
76,1003,398.66,GBP,2024-01-02,Spain,Online,Pharmacy,Declined
77,1053,104.81,EUR,2024-01-18,USA,In-Store,Restaurant,Refunded
78,1092,86.01,EUR,2024-02-16,Canada,Online,Travel,Declined
79,1062,86.31,MXN,2024-02-02,Spain,Mobile,Electronics,Pending
80,1017,408.21,EUR,2024-02-06,Mexico,Online,Electronics,Pending
81,1089,334.27,USD,2024-02-03,Spain,Mobile,Restaurant,Completed
82,1043,263.92,USD,2024-01-20,USA,Online,Restaurant,Refunded
83,1033,182.62,CAD,2024-02-04,UK,Mobile,Restaurant,Declined
84,1073,439.21,USD,2024-02-20,Spain,Mobile,Fashion,Refunded
85,1061,199.26,EUR,2024-02-19,UK,Online,Fashion,Pending
86,1099,409.22,USD,2024-02-23,Mexico,Online,Pharmacy,Refunded
87,1013,222.37,MXN,2024-01-18,Spain,Mobile,Fashion,Declined
88,1094,191.59,CAD,2024-02-15,Canada,In-Store,Grocery,Refunded
89,1047,234.03,EUR,2024-01-24,UK,Online,Pharmacy,Declined
90,1014,154.18,CAD,2024-01-08,Mexico,In-Store,Electronics,Pending
91,1071,375.07,EUR,2024-01-30,Canada,Online,Travel,Pending
92,1077,253.85,MXN,2024-02-13,Canada,Online,Grocery,Pending
93,1086,119.95,CAD,2024-02-22,Canada,Online,Electronics,Completed
94,1061,450.29,GBP,2024-01-10,Canada,Online,Electronics,Pending
95,1039,195.03,EUR,2024-01-23,Spain,In-Store,Pharmacy,Refunded
96,1084,274.06,GBP,2024-02-21,Spain,Online,Restaurant,Completed
97,1079,453.7,CAD,2024-02-18,Spain,Mobile,Restaurant,Pending
98,1081,314.0,GBP,2024-01-11,Mexico,Mobile,Grocery,Refunded
99,1052,62.86,GBP,2024-01-02,Mexico,In-Store,Restaurant,Refunded
100,1023,470.22,CAD,2024-02-27,Mexico,Online,Electronics,Refunded
101,1025,315.72,MXN,2024-01-26,USA,Mobile,Restaurant,Declined
102,1088,170.78,GBP,2024-02-05,Mexico,In-Store,Fashion,Completed
103,1059,73.94,GBP,2024-02-02,Spain,Online,Restaurant,Refunded
104,1040,398.04,MXN,2024-02-16,Spain,Mobile,Electronics,Declined
105,1028,311.94,GBP,2024-01-13,USA,Mobile,Pharmacy,Pending
106,1014,269.06,GBP,2024-02-09,USA,In-Store,Grocery,Refunded
107,1044,447.48,GBP,2024-01-25,Mexico,Online,Travel,Declined
108,1064,395.36,USD,2024-01-04,UK,Online,Restaurant,Refunded
109,1088,80.08,MXN,2024-02-11,USA,Mobile,Electronics,Completed
110,1070,159.3,GBP,2024-01-19,Canada,Mobile,Travel,Completed
111,1008,128.0,MXN,2024-01-18,Spain,Mobile,Travel,Pending
112,1087,373.25,EUR,2024-02-06,Canada,Online,Fashion,Refunded
113,1000,21.6,EUR,2024-01-30,Spain,In-Store,Travel,Declined
114,1007,287.1,GBP,2024-01-19,Spain,In-Store,Pharmacy,Pending
115,1087,382.42,MXN,2024-02-27,USA,Online,Electronics,Refunded
